Point-de-Hongrie,Erynnis tages
Grisette,Carcharodus alceae
Hespérie du dactyle,Thymelicus lineola
Sylvaine,Ochlodes sylvanus
Machaon,Papilio machaon
Piéride du chou,Pieris brassicae
Piéride de la rave,Pieris rapae
Piéride du navet,Pieris napi
Aurore,Anthocharis cardamines
Souci,Colias crocea
Citron,Gonepteryx rhamni
Cuivré commun,Lycaena phlaeas
Cuivré fuligineux,Lycaena tityrus
Azuré des nerpruns,Celastrina argiolus
Azuré du trèfle,Cupido argiades
Azuré de la bugrane,Polyommatus icarus
Petit sylvain,Limenitis camilla
Grand mars changeant,Apatura iris
Petit mars changeant,Apatura ilia
Petite tortue,Aglais urticae
Paon du jour,Aglais io
Vulcain,Vanessa atalanta
Belle-Dame,Vanessa cardui
Robert-le-Diable,Polygonia c-album
Carte géographique,Araschnia levana
Tircis,Pararge aegeria
Mégère,Lasiommata megera
Fadet commun,Coenonympha pamphilus
Amaryllis,Pyronia tithonus
Myrtil,Maniola jurtina
Demi-deuil,Melanargia galathea
